Facility Id	Facility Name	City	State	Zip Code	Address	Latitude	Longitude	Total reported direct emissions	CO2 emissions (non-biogenic) 	Methane (CH4) emissions 	Nitrous Oxide (N2O) emissions 	Stationary Combustion	Electricity Generation
1005278	ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT	COLWICH	KS	67030	523 E UNION AVE	37.78682	-97.53099	7460.572	7452.9	3.5	4.172	7460.572	0.0
1005353	ABERDEEN ENERGY LLC	MINA	SD	57451	13435 370TH AVENUE	45.442417	-98.787139	174747.692	174567.4	82.25	98.042	174747.692	0.0
1006971	ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area	APG	MD	21005	4304 Susquehanna Ave	39.395404	-76.30773	54155.474	54056.5	35.5	63.474	54155.474	0.0
1003091	ABRAHAM COMPRESSOR STATION	CANADIAN	TX	79014	9835 US HWY 60	35.766656	-100.478642	27228.548	27200.6	12.75	15.198	27228.548	0.0
1002627	ABSOLUTE ENERGY LLC	ST ANSGAR (MONA)	IA	50472	1372 STATELINE ROAD	43.49951	-92.91709	179161.664	178708.2	351.25	102.214	178895.414	0.0
1002685	AC 857 A	Offshore	TX	0		26.29555555	-94.89777777	229358.716	201650.4	27517.0	191.316	187760.908	0.0
1006529	ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL	EGAN	LA	70531	611 PETAL RD	30.256038	-92.532637	51001.0	0.0	51001.0	0.0	0.0	0.0
1004830	ACE Cogeneration Company	Trona	CA	93562	12801 Mariposa Street	35.7655	-117.3821	368560.07	365170.0	1240.0	2150.07	368560.07	0.0
1004761	ACE ETHANOL LLC	STANLEY	WI	54768	815 WEST MAPLE STREET	44.9589	-90.9608	75143.268	75066.0	35.25	42.018	75143.268	0.0
1005601	ACME BRICK CO ELGIN PLANT	ELGIN	TX	78621	1776 OLD MCDADE RD	30.32903	-97.29207	29376.34	29346.2	13.75	16.39	29376.34	0.0
1005046	ACME GYPSUM FACILITY	QUANAH	TX	79252	4164 HIGHWAY 285	34.323944	-99.818194	34729.62	34694.0	16.25	19.37	34729.62	0.0
1002731	ADA COGENERATION	ADA	MI	49355	7575 FULTON STREET EAST	42.955455	-85.479053	109183.288	109070.4	51.5	61.388	109183.288	0.0
1003752	ADA Carbon Solutions (Red River), LLC	Coushatta	LA	71019	201 Red River Mine Road	32.005405	-93.387829	143455.08	143449.6	2.5	2.98	143455.08	0.0
1003422	ADKINS ENERGY LLC	LENA	IL	61048	4350 WEST GALENA ROAD	42.3586	-89.80342	74812.268	74667.0	103.25	42.018	74744.268	0.0
1002154	ADM - MANKATO	MANKATO	MN	56001	2019 3RD AVENUE	44.186805	-93.995493	138201.4	137293.5	334.25	573.65	138201.4	0.0
1006208	ADM CORN PROCESSING	CLINTON	IA	52732	1251 BEAVER CHANNEL PARKWAY	41.8196	-90.2122	2272580.96	2256315.5	6276.5	9988.96	2272110.96	0.0
1006047	ADM CORN PROCESSING	CEDAR RAPIDS	IA	52404	1350 WACONIA AVENUE SOUTHWEST	41.9192	-91.6862	3022790.716	3001558.7	8852.5	12379.516	3021174.966	0.0
1010610	ADM Deerfield	Deerfield	MO	64741	17700 South Highway T	37.80725	-94.585301	30872.584	30840.8	14.5	17.284	30872.584	0.0
1000376	ADM QUINCY	QUINCY	IL	62305	2100 GARDNER EXPRESSWAY	39.903884	-91.410552	152630.298	151696.2	345.25	588.848	152630.298	0.0
1006080	ADM SOUTHERN CELLULOSE PROD.IN	CHATTANOOGA	TN	37410	103 W 45TH ST	34.997921	-85.318581	24508.052	24481.7	11.75	14.602	24508.052	0.0
1000034	ADM SOYBEAN PROCESSING - DES MOINES	DES MOINES	IA	50313	1935 EAST EUCLID AVENUE	41.626329	-93.583205	141702.51	140692.8	370.5	639.21	141702.51	0.0
1001991	ADRIAN LANDFILL	ADRIAN	MI	49221	1970 N OGDEN HWY	41.890683	-83.992445	16305.15	9.4	16295.75	0.0	9.4	0.0
1001633	ADS-CEDAR HILL LANDFILL	RAGLAND	AL	35131	1319 NO BUSINESS CREEK ROAD	33.676247	-86.25444	124823.75	0.0	124823.75	0.0	0.0	0.0
1001636	ADS-PECAN ROW-EVERGREEN LANDFILLS	VALDOSTA	GA	31601	2995 WETHERINGTON LANE	30.81425	-83.35981	164077.25	0.0	164077.25	0.0	0.0	0.0
1006790	ADS-STAR RIDGE LANDFILL	MOODY	AL	35004	3301 ACMAR ROAD	33.605845	-86.5201	122873.75	0.0	122873.75	0.0	0.0	0.0
1002094	ADS/MCLEAN COUNTY LANDFILL	BLOOMINGTON	IL	61704	2105 W OAKLAND AVE	40.465534	-89.03273	18855.2	13.7	18841.5	0.0	13.7	0.0
1001845	ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC	WISCONSIN RAPIDS	WI	54495	2510 ENGEL ROAD	44.4093	-89.854855	30677.05	153.8	30523.25	0.0	153.8	0.0
1003038	ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC	MACON	MO	63552	31226 INTREPID ROAD	39.73376	-92.53825	24570.9	98.9	24472.0	0.0	98.9	0.0
1006979	ADVANCED DISPOSAL OAK RIDGE LANDFILL	BALWIN	MO	63021	1741 SULPHUR SPRING ROAD	38.55775	-90.529833	9383.25	0.0	9383.25	0.0	0.0	0.0
1001637	ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC	DAVIS JUNCTION	IL	61020	8290 HIGHWAY 251	42.14	-89.085	113312.9	56.4	113256.5	0.0	56.4	0.0
1006963	ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC	DECATUR	IL	62522	1363 BEAR RD	39.822266	-89.043754	43911.0	35.5	43875.5	0.0	35.5	0.0
1000627	ADVANSIX INC - CHESTERFIELD PLANT	CHESTER	VA	23836	4101 BERMUDA HUNDRED RD	37.33963	-77.2884	46014.576	45966.9	21.75	25.926	46014.576	0.0
1000630	ADVANSIX INCORPORATED - HOPEWELL	HOPEWELL	VA	23860	905 EAST RANDOLPH ROAD	37.1815	-77.1621	1054912.63	1054351.6	230.25	330.78	386319.63	0.0
1005310	AES - PUERTO RICO COGENERATION PLANT	GUAYAMA	PR	785	KM 142, RTE. #3 BO. JOBOS	17.9451	-66.1503	3732438.376	3703747.4	10494.5	18196.476	3732438.376	0.0
1001444	AES Alamitos	LONG BEACH	CA	90803	690 N STUDEBAKER ROAD	33.7688	-118.1009	841011.832	840157.5	389.75	464.582	0.0	841011.832
1001222	AES Beaver Valley LLC	MONACA	PA	15061	394 FRANKFORT RD	40.6558	-80.3556	119152.022	118217.3	342.0	592.722	0.0	119152.022
1000281	AES Deepwater, Inc.	PASADENA	TX	77506	701 LIGHT COMPANY ROAD	29.7192	-95.2278	0.0	0.0	0.0	0.0	0.0	0.0
1005972	AES HAWAII INC	KAPOLEI	HI	96707	91-086 KAOMI LP	21.301222	-158.107306	1767528.436	1755281.7	4481.75	7764.986	1767528.436	0.0
1001447	AES Huntington Beach	HUNTINGTON BEACH	CA	92646	21730 NEWLAND ST	33.6436	-117.9788	530032.636	529494.5	245.5	292.636	0.0	530032.636
1001450	AES Redondo Beach	REDONDO BEACH	CA	90277	1100 N HARBOR DRIVE	33.8504	-118.395	177465.292	177285.0	82.25	98.042	0.0	177465.292
1001223	AES Warrior Run	CUMBERLAND	MD	21502	11600 MEXICO FARMS RD SE	39.5944	-78.7456	1367442.996	1360101.7	367.5	6973.796	163.2	1367279.796
1003853	AFTON CHEMICAL CORP	SAUGET	IL	62201	501 MONSANTO AVE.	38.602631	-90.167496	50470.76	50418.7	23.75	28.31	50470.76	0.0
1007551	AG Energy	Ogdensburg	NY	13669	21 Entrance Avenue	44.7258	-75.4417	9323.564	9313.7	4.5	5.364	9323.564	0.0
1002070	AG PROCESSING INC A COOP-MANNING	MANNING	IA	51455	1000 300TH STREET	41.920794	-95.070791	17380.926	17361.4	8.5	11.026	17380.926	0.0
1006054	AG PROCESSING INC-EAGLE GROVE	EAGLE GROVE	IA	50533	500 NORTH COMMERCIAL AVENUE	42.669167	-93.904444	127059.26	126121.0	343.75	594.51	127059.26	0.0
1002291	AG PROCESSING INCORPORATED A COOPERATIVE	DAWSON	MN	56232	800 DIAGONAL STREET	44.93265	-96.056491	32785.706	32748.0	16.25	21.456	32785.706	0.0
1007333	AGC FLAT GLASS N AMERICA INC	RICHMOND	KY	40475	201 DUNCANNON LANE	37.70034	-84.26929	69030.128	68983.0	21.5	25.628	33927.128	0.0
1004631	AGC FLAT GLASS NORTH AMERICA SPRING HILL PLANT	SPRING HILL	KS	66083	20400 NORTH WEBSTER STREET	38.759188	-94.825252	98877.532	98804.1	33.5	39.932	71278.132	0.0
1005824	AGC-GREENLAND FLATGLASS PLANT	CHURCH HILL	TN	37642	600 AFG ROAD	36.497	-82.77946	126933.052	126796.6	62.25	74.202	69100.652	0.0
1002067	AGP SOY/CORN PROCESSING	HASTINGS	NE	68901	2801 E 7TH ST	40.59227	-98.3391	144421.916	143401.4	374.75	645.766	144421.916	0.0
1005284	AGRI ENERGY LLC	LUVERNE	MN	56156	502 SOUTH WALNUT AVENUE	43.648333	-96.224444	29169.44	29126.8	26.25	16.39	29156.94	0.0
1002380	AGRIUM US BORGER NITROGEN OPERATIONS	BORGER	TX	79007	9201 FM 1551	35.6417	-101.4228	921696.592	921283.4	188.5	224.692	400481.492	0.0
1004236	AGRIUM US INC - KFO	KENNEWICK	WA	99337	227515 E BOWLES ROAD	46.165957	-119.017218	132249.148	8221.0	0.25	124027.898	647.748	0.0
1004374	AGY LLC	AIKEN	SC	29801	2556 WAGENER RD.	33.5472	-81.67341	8486.028	8480.0	2.75	3.278	5727.628	0.0
1001919	AHN Heartland Ingredients	EDDYVILLE	IA	52553	1116 Highway 137	41.143573	-92.647934	120451.196	120326.8	56.75	67.646	120451.196	0.0
1006430	AIR LIQUID LARGE INDUSTRIES US, LP	EL SEGUNDO	CA	90245	324 W EL SEGUNDO BLVD	33.905833	-118.401944	615454.5	615454.5	0.0	0.0	0.0	0.0
1003724	AIR LIQUIDE - CORPUS CHRISTI SMR	CORPUS CHRISTI	TX	78407	5880 UP RIVER ROAD	27.813911	-97.472347	398428.8	398428.8	0.0	0.0	0.0	0.0
1003730	AIR LIQUIDE - FREEPORT HYCO PLANT	FREEPORT	TX	77541	2398 VICTORIA ROAD	28.98037	-95.38396	17656.376	17649.8	3.0	3.576	6414.376	0.0
1003780	AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT	PORT NECHES	TX	77651	2121 PARK STREET	29.981116	-93.952389	186342.948	186150.6	87.75	104.598	186342.948	0.0
1003910	AIR LIQUIDE AMERICA CORP	LONGVIEW	TX	75602	2292 Callahan Rd	32.4478	-94.6875	414291.6	414291.6	0.0	0.0	0.0	0.0
1006115	AIR LIQUIDE AMERICA CORP.	GEISMAR	LA	70734	36597 HWY 30	30.21023	-90.99085	214865.692	214644.3	101.0	120.392	214865.692	0.0
1003591	AIR LIQUIDE GEISMAR UTILITY SERVICES	GEISMAR	LA	70734	36183 HWY 30	30.21023	-90.99085	200471.996	200265.4	94.25	112.346	200471.996	0.0
1003748	AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT	RODEO	CA	94572	1391 SAN PABLO AVE	38.047952	-122.256895	812331.2	812331.2	0.0	0.0	0.0	0.0
1003013	AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY	WESTLAKE	LA	70669	102 TROUSDALE RD	30.238889	-93.281944	871910.8	871910.8	0.0	0.0	0.0	0.0
1002754	AIR PRODUCTS & CHEMICALS INC - CONVENT SMR	CONVENT	LA	70723	10759 CONVENT WAY	30.10817	-90.88404	661624.1	661624.1	0.0	0.0	0.0	0.0
1002698	AIR PRODUCTS & CHEMICALS INC - Geismar SMR	GEISMAR	LA	70734	8013 HWY 3251	30.183808	-90.9876	131236.8	131236.8	0.0	0.0	0.0	0.0
1003009	AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY	NEW ORLEANS	LA	70129	14700 INTRACOASTAL DRIVE	30.029033	-89.900517	201205.64	201202.9	1.25	1.49	3061.14	0.0
1002121	AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD	MARTINEZ	CA	94553	110 WATERFRONT RD	38.032767	-122.07594	692752.1	692752.1	0.0	0.0	0.0	0.0
1002122	AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez	MARTINEZ	CA	94553		38.026667	-122.067222	255066.636	255049.1	8.0	9.536	0.0	0.0
1005809	AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT	CATLETTSBURG	KY	41129	11631 US Route 23 	38.384444	-82.598528	191344.9	191344.9	0.0	0.0	0.0	0.0
1002727	AIR PRODUCTS AND CHEMICALS INC - GARYVILLE	GARYVILLE	LA	70051	4663 W AIRLINE HWY 	30.06273	-90.58819	831689.6	831689.6	0.0	0.0	0.0	0.0
1002123	AIR PRODUCTS AND CHEMICALS INCORPORATED	SACRAMENTO	CA	95826	5025 83RD STREET	38.529722	-121.398889	44825.6	44825.6	0.0	0.0	0.0	0.0
1002430	AIR PRODUCTS BAYTOWN PLANT	BAYTOWN	TX	77520	5503 WEST BAKER ROAD	29.757778	-95.023056	273981.724	273933.5	22.0	26.224	46595.024	0.0
1002257	AIR PRODUCTS CARSON HYDROGEN PLANT	CARSON	CA	90810	23300 SOUTH ALAMEDA STREET	33.812778	-118.231389	682241.0	682241.0	0.0	0.0	0.0	0.0
1002435	AIR PRODUCTS WILMINGTON HYDROGEN PLANT	WILMINGTON	CA	90744	700 HENRY FORD AVENUE	33.780833	-118.241111	769301.2	768518.9	231.0	551.3	0.0	0.0
1000274	AK Steel Corporation - Middletown	MIDDLETOWN	OH	45043	1801 CRAWFORD STREET	39.4968	-84.3901	5265994.726	5263689.6	819.0	1486.126	3188755.038	0.0
1005615	AK Steel Corporation West Works	Ashland	KY	41101	170 Armco Road	38.496367	-82.670282	1661155.524	1660679.4	137.0	339.124	1386055.054	0.0
1006088	AKRON REGIONAL LANDFILL *	AKRON	OH	44313	1585 HARDY ROAD	41.151282	-81.559298	1790.25	0.0	1790.25	0.0	0.0	0.0
1010475	AJAX PLANT	Wheeler	TX	79014	16600 CR N	35.546399	-100.116256	45909.238	42966.6	2918.5	24.138	42573.14	0.0
1005149	AL CORN CLEAN FUEL	CLAREMONT	MN	55924	797 5th Street	44.049412	-93.017379	75059.768	74909.0	108.75	42.018	74986.268	0.0
1003129	AKER PLANT	STREETMAN	TX	75859	261 FCR 181	31.90806	-96.227219	51722.522	51562.0	134.0	26.522	44840.532	0.0
1000129	AL Sandersville	WARTHEN	GA	31094	1600 MILLS LINDSEY SCHOOL ROAD	33.1189	-82.8608	5633.98	5628.5	2.5	2.98	0.0	5633.98
1004823	AL TURI LANDFILL & LFGTE FACILITY	GOSHEN	NY	10924	73 HARTLEY ROAD	41.40646	-74.37313	21636.5	20.0	21616.5	0.0	20.0	0.0
1007917	ALABAMA RIVER CELLULOSE, LLC	PERDUE HILL	AL	36470	2373 LENA LANDEGGER HWY	31.580112	-87.490073	347879.576	172744.6	168262.5	6872.476	41918.834	0.0
1007272	ALADDIN MILLS - ANTIOCH RD PLA NT	DALTON	GA	30720	2001 ANTIOCH ROAD	34.73399	-84.94646	44145.568	44096.7	21.75	27.118	44145.568	0.0
1006276	ALBANY LANDFILL	ALBANY	NY	12205	525 RAPP RD	42.70324	-73.84958	134991.75	0.0	134991.75	0.0	0.0	0.0
1003402	ALBEMARLE CORPORATION HOUSTON PLANT	PASADENA	TX	77503	2500 N. SOUTH ST.	29.742498	-95.165513	81715.792	81631.4	38.5	45.892	81715.792	0.0
1004307	ALBEMARLE CORPORATION-SOUTH PLANT	MAGNOLIA	AR	71753	2270 HWY 79 SOUTH OF MAGNOLIA	33.1756	-93.2169	84674.78	84587.1	40.0	47.68	84674.78	0.0
1001877	ALCOA INC - WARRICK OPERATIONS	NEWBURGH	IN	47629		37.915	-87.3328	6777676.776	6561779.7	16171.75	27997.398	162310.288	6046832.76
1003562	ALCOA INTALCO WORKS	FERNDALE	WA	98248	4050 MOUNTAIN VIEW RD.	48.8455	-122.7055	1326684.172	431402.9	10905.0	32.184	57139.884	0.0
1000635	ALCOA WENATCHEE LLC	MALAGA	WA	98828	6200 MALAGA HIGHWAY	47.3567	-120.1273	354691.582	270751.5	13.75	16.39	29466.94	0.0
1003201	ALCOA WORLD ALUMINA ATLANTIC	POINT COMFORT	TX	77978		28.65083	-96.56222	935628.118	916077.4	19017.0	533.718	917048.368	0.0
1003147	ALCOA-MARYVILLE-BLOUNT COUNTY LANDFILL	Friendsville	TN	37737	240 Long Powers Road	35.73834	-84.05978	47475.0	0.0	47475.0	0.0	0.0	0.0
1005887	ALLIANCE COMPRESSOR STATION	JUSTIN	TX	76247	12495 HWY 114	33.03425	-97.34692	150528.32	129622.4	20894.0	11.92	21146.22	0.0
1006045	ALERIS ROLLED PRODUCTS INC	LEWISPORT	KY	42351	1372 STATE ROAD 1957	37.950831	-86.845794	172712.0	172533.9	81.25	96.85	172712.0	0.0
1004335	ALL PURPOSE LANDFILL	SANTA CLARA	CA	95050	5401 Lafayette Street	37.4135	-121.9724	58810.5	0.0	58810.5	0.0	0.0	0.0
1005862	ALLEGANY BALLISTICS LABORATORY	KEYSER	WV	26726	210 STATE ROUTE 956	39.560972	-78.843611	30310.774	30171.5	46.0	93.274	30310.774	0.0
1005006	ALLEGHENY LUDLUM, BAGDAD FACILITY	LEECHBURG	PA	15656	585 SILICON DRIVE	40.64008	-79.61118	47812.92	47763.6	22.5	26.82	47812.92	0.0
1007192	ALLEN COUNTY PUBLIC WORKS	LA HARPE	KS	66751	1170 2800TH ST	38.007907	-95.289343	52747.006	60.3	52665.25	21.456	85.256	0.0
1007645	ALLIANCE SANI LDFL	TAYLOR	PA	18517	398 KEYSER AVENUE	41.3965	-75.7375	41422.844	1357.7	40064.25	0.894	1359.344	0.0
1006197	ALLIED IMPERIAL LANDFILL	IMPERIAL	CA	92251	104 EAST ROBINSON ROAD	32.85467	-115.52505	8332.75	0.0	8332.75	0.0	0.0	0.0
1003246	ALLISON COMPRESSOR STATION	Briscoe	TX	79011	16301 FM 1046	35.618663	-100.14948	22699.464	22675.9	10.75	12.814	22699.464	0.0
1007496	ALLISON GAS PLANT	Allison	TX	79003	16298 Co. Rd. EE	35.618663	-100.14948	47488.792	45305.5	2159.75	23.542	42151.692	0.0
1005705	ALLIANCE PIPELINE - OLIVIA 23-A	BIRD ISLAND	MN	55310	38884 870TH AVE	44.8491	-94.8969	93088.1	92985.2	50.75	52.15	93081.1	0.0
1000048	ALLISON TRANSMISSION, Inc.	INDIANAPOLIS	IN	46222	One Allison Way	39.78039	-86.238893	28704.902	28657.9	17.5	29.502	28704.902	0.0
1001559	ALLIANCE PIPELINE L.P. - MANCHESTER	MANCHESTER	IA	52057	1242 220TH STREET	42.4671	-91.5509	83451.536	83148.5	256.25	46.786	83234.236	0.0
1004327	ALMATIS INC - BAUXITE ARKANSAS	Benton	AR	72015	4701 ALCOA ROAD	34.57522	-92.53173	54560.044	54503.6	25.75	30.694	54560.044	0.0
1001560	ALLIANCE PIPELINE LP	TAMPICO	IL	61283	580 TAMPICO RD	41.592546	-89.784245	55522.992	55172.5	319.5	30.992	55229.092	0.0
1007622	ALON REFINING KROTZ SPRINGS INC	KROTZ SPRINGS	LA	70750	356 S. LEVEE RD	30.526504	-91.748383	535457.634	530822.6	2457.25	2177.784	297514.516	0.0
1000245	ALLIANCE PIPELINE, L.P.-FAIRMOUNT COMPRESSOR STATION	FAIRMOUNT	ND	58030	17950 98TH ST SE	45.993367	-96.648999	97142.334	97029.8	58.0	54.534	97130.084	0.0
1007291	ALPHA RIDGE LANDFILL	MARRIOTTSVILLE	MD	21104	2350 MARRIOTTSVILLE ROAD	39.30718	-76.89862	31275.47	85.3	31178.25	11.92	102.22	0.0
1001558	ALLIANCE PIPELINE, L.P.-WIMBLEDON COMPRESSOR STATION	WIMBLEDON	ND	58492	1540 98TH AVE SE	47.191058	-98.42561	98527.48	98215.6	256.75	55.13	98316.78	0.0
1007401	ALTIVIA Petrochemicals, LLC - HAVERHILL COMPLEX	HAVERHILL	OH	45636	1019 HAVERHILL OHIO FURNACE ROAD	38.59167	-82.81944	35043.468	35007.3	16.5	19.668	35043.468	0.0
1007263	ALTO COLUMBIA LLC	BOARDMAN	OR	97818	71335 RAIL LOOP DRIVE	45.855921	-119.656083	38545.104	38505.1	18.25	21.754	38545.104	0.0
1007264	ALTO MAGIC VALLEY LLC	BURLEY	ID	83318	2600 WASHINGTON AVENUE	42.521324	-113.815693	66590.9	66522.4	31.25	37.25	66590.9	0.0
1003268	ALTON STEEL COMPANY	ALTON	IL	62002	#5 CUT ST.	38.88321	-90.14503	59393.212	59355.4	17.25	20.562	36718.812	0.0
1005184	ALYESKA PIPELINE SE/TAPS PUMP STATION 01	PRUDHOE BAY	AK	99734		70.257222	-148.617778	91022.79	90925.4	43.75	53.64	91022.79	0.0
1005781	ALYESKA PIPELINE SERVICE COMPANY, Valdez Marine Terminal	VALDEZ	AK	99686	300 DAYVILLE ROAD	61.084857	-146.388531	80079.608	79943.7	40.25	95.658	80079.608	0.0
1005491	AM/NS Calvert, LLC	CALVERT	AL	36513	1 AM/NS Way	30.8	-88.1	441289.688	440834.3	207.75	247.638	441289.688	0.0
1006412	AMALGAMATED SUGAR CO LLC	PAUL	ID	83347	50 SOUTH 500 WEST	42.611671	-113.757423	327914.026	315068.3	12007.75	837.976	269815.076	0.0
1005712	AMALGAMATED SUGAR CO LLC	TWIN FALLS	ID	83301	2320 ORCHARD DR. E.	42.531995	-114.431448	293749.222	291835.9	702.25	1211.072	271982.622	0.0
1005707	AMALGAMATED SUGAR CO LLC	NAMPA	ID	83687	138 WEST KARCHER ROAD	43.612136	-116.579232	370065.748	276079.4	92950.5	1035.848	255185.948	0.0
1007178	AMEA Sylacauga Plant	SYLACAUGA	AL	35150	125 THOMPSON LANE	33.1661	-86.2825	17007.536	16990.0	8.0	9.536	0.0	17007.536
1004732	AMERICAN ACRYL PASADENA	PASADENA	TX	77507	4631 Old Hwy 146, Suite B	29.62132	-95.06676	78388.004	78306.9	37.0	44.104	78388.004	0.0
1005432	AMERICAN AIRLINES	TULSA	OK	74116	3800 NORTH MINGO ROAD	36.204822	-95.868808	43234.474	43177.8	23.0	33.674	43234.474	0.0
1004417	AMERICAN AVENUE LANDFILL	KERMAN	CA	93630	18950 W AMERICAN AVENUE	36.6659	-120.1382	72595.6	3.6	72592.0	0.0	3.6	0.0
